Plot Title: A3 Salt Valley ,,,,
#,"Date Time, GMT-06:00","H08 Temp., °F (LGR S/N: 693620)",,
1,04/13/09 09:11:25 AM,81.54,Details,
2,04/13/09 10:23:25 AM,57.36,Series: H08 Temp., °F
3,04/13/09 11:35:25 AM,70.39,Devices,
4,04/13/09 12:47:25 PM,77.31,Device Info,
5,04/13/09 01:59:25 PM,71.76,Product: H08 Logger,
6,04/13/09 03:11:25 PM,72.46,Serial Number: 746720,
7,04/13/09 04:23:25 PM,73.15,Version Number: 0.00,
8,04/13/09 05:35:25 PM,73.15,Manufacturer: Onset Computer Corporation,
9,04/13/09 06:47:25 PM,71.08,Device Memory: 32768,
10,04/13/09 07:59:25 PM,59.41,Header Created: 06/04/18 11:01:44 AM GMT-06:00,
11,04/13/09 09:11:25 PM,47.53,Deployment Info,
12,04/13/09 10:23:25 PM,46.09,Full Series Name: H08 Temperature, °F
13,04/13/09 11:35:25 PM,43.92,Launch Name: A5 Panorama Point,
14,04/14/09 12:47:25 AM,42.46,Deployment Number: 10,
15,04/14/09 01:59:25 AM,44.65,Launch Time: 03/31/09 10:16:03 AM GMT-06:00,
16,04/14/09 03:11:25 AM,44.65,Launch GMT Offset: -6 Hr 0 Min,
17,04/14/09 04:23:25 AM,43.2,Battery at Launch: Unknown,
18,04/14/09 05:35:25 AM,44.65,Series Statistics,
19,04/14/09 06:47:25 AM,46.09,Samples: 1,31
20,04/14/09 07:59:25 AM,47.53,First Sample Time: 03/31/09 10:16:03 AM GMT-06:00,
21,04/14/09 09:11:25 AM,52.48,Last Sample Time: 03/25/10 03:26:33.5 PM GMT-06:00,
22,04/14/09 10:23:25 AM,59.41,,
23,04/14/09 11:35:25 AM,66.27,,
24,04/14/09 12:47:25 PM,67.66,,
25,04/14/09 01:59:25 PM,67.66,,
26,04/14/09 03:11:25 PM,66.27,,
27,04/14/09 04:23:25 PM,64.9,,
28,04/14/09 05:35:25 PM,63.54,,
29,04/14/09 06:47:25 PM,62.85,,
30,04/14/09 07:59:25 PM,61.48,,
31,04/14/09 09:11:25 PM,57.36,,
32,04/14/09 10:23:25 PM,57.36,,
33,04/14/09 11:35:25 PM,57.36,,
34,04/15/09 12:47:25 AM,53.19,,
35,04/15/09 01:59:25 AM,58.05,,
36,04/15/09 03:11:25 AM,56.66,,
37,04/15/09 04:23:25 AM,55.27,,
38,04/15/09 05:35:25 AM,52.48,,
39,04/15/09 06:47:25 AM,51.08,,
40,04/15/09 07:59:25 AM,53.89,,
41,04/15/09 09:11:25 AM,57.36,,
42,04/15/09 10:23:25 AM,60.8,,
43,04/15/09 11:35:25 AM,65.59,,
44,04/15/09 12:47:25 PM,65.59,,
45,04/15/09 01:59:25 PM,66.96,,
46,04/15/09 03:11:25 PM,48.25,,
47,04/15/09 04:23:25 PM,39.47,,
48,04/15/09 05:35:25 PM,33.31,,
49,04/15/09 06:47:25 PM,33.31,,
50,04/15/09 07:59:25 PM,34.11,,
51,04/15/09 09:11:25 PM,34.11,,
52,04/15/09 10:23:25 PM,33.31,,
53,04/15/09 11:35:25 PM,34.11,,
54,04/16/09 12:47:25 AM,34.11,,
55,04/16/09 01:59:25 AM,31.71,,
56,04/16/09 03:11:25 AM,26.78,,
57,04/16/09 04:23:25 AM,28.45,,
58,04/16/09 05:35:25 AM,30.9,,
59,04/16/09 06:47:25 AM,28.45,,
60,04/16/09 07:59:25 AM,32.52,,
61,04/16/09 09:11:25 AM,40.98,,
62,04/16/09 10:23:25 AM,46.81,,
63,04/16/09 11:35:25 AM,48.25,,
64,04/16/09 12:47:25 PM,53.19,,
65,04/16/09 01:59:25 PM,53.89,,
66,04/16/09 03:11:25 PM,57.36,,
67,04/16/09 04:23:25 PM,58.05,,
68,04/16/09 05:35:25 PM,57.36,,
69,04/16/09 06:47:25 PM,53.19,,
70,04/16/09 07:59:25 PM,43.92,,
71,04/16/09 09:11:25 PM,35.65,,
72,04/16/09 10:23:25 PM,41.72,,
73,04/16/09 11:35:25 PM,40.98,,
74,04/17/09 12:47:25 AM,40.23,,
75,04/17/09 01:59:25 AM,40.98,,
76,04/17/09 03:11:25 AM,40.23,,
77,04/17/09 04:23:25 AM,40.23,,
78,04/17/09 05:35:25 AM,36.43,,
79,04/17/09 06:47:25 AM,38.73,,
80,04/17/09 07:59:25 AM,39.47,,
81,04/17/09 09:11:25 AM,42.46,,
82,04/17/09 10:23:25 AM,46.81,,
83,04/17/09 11:35:25 AM,57.36,,
84,04/17/09 12:47:25 PM,61.48,,
85,04/17/09 01:59:25 PM,57.36,,
86,04/17/09 03:11:25 PM,61.48,,
87,04/17/09 04:23:25 PM,58.05,,
88,04/17/09 05:35:25 PM,54.59,,
89,04/17/09 06:47:25 PM,51.08,,
90,04/17/09 07:59:25 PM,47.53,,
91,04/17/09 09:11:25 PM,46.09,,
92,04/17/09 10:23:25 PM,45.37,,
93,04/17/09 11:35:25 PM,44.65,,
94,04/18/09 12:47:25 AM,42.46,,
95,04/18/09 01:59:25 AM,42.46,,
96,04/18/09 03:11:25 AM,42.46,,
97,04/18/09 04:23:25 AM,37.2,,
98,04/18/09 05:35:25 AM,30.9,,
99,04/18/09 06:47:25 AM,37.2,,
100,04/18/09 07:59:25 AM,46.09,,
101,04/18/09 09:11:25 AM,51.78,,
102,04/18/09 10:23:25 AM,56.66,,
103,04/18/09 11:35:25 AM,62.17,,
104,04/18/09 12:47:25 PM,66.27,,
105,04/18/09 01:59:25 PM,69.03,,
106,04/18/09 03:11:25 PM,62.85,,
107,04/18/09 04:23:25 PM,64.22,,
108,04/18/09 05:35:25 PM,71.76,,
109,04/18/09 06:47:25 PM,61.48,,
110,04/18/09 07:59:25 PM,55.98,,
111,04/18/09 09:11:25 PM,52.48,,
112,04/18/09 10:23:25 PM,49.68,,
113,04/18/09 11:35:25 PM,47.53,,
114,04/19/09 12:47:25 AM,47.53,,
115,04/19/09 01:59:25 AM,46.09,,
116,04/19/09 03:11:25 AM,44.65,,
117,04/19/09 04:23:25 AM,44.65,,
118,04/19/09 05:35:25 AM,43.2,,
119,04/19/09 06:47:25 AM,43.2,,
120,04/19/09 07:59:25 AM,49.68,,
121,04/19/09 09:11:25 AM,56.66,,
122,04/19/09 10:23:25 AM,62.17,,
123,04/19/09 11:35:25 AM,68.34,,
124,04/19/09 12:47:25 PM,72.46,,
125,04/19/09 01:59:25 PM,75.92,,
126,04/19/09 03:11:25 PM,75.22,,
127,04/19/09 04:23:25 PM,74.53,,
128,04/19/09 05:35:25 PM,77.31,,
129,04/19/09 06:47:25 PM,71.76,,
130,04/19/09 07:59:25 PM,61.48,,
131,04/19/09 09:11:25 PM,50.38,,
132,04/19/09 10:23:25 PM,47.53,,
133,04/19/09 11:35:25 PM,42.46,,
134,04/20/09 12:47:25 AM,40.98,,
135,04/20/09 01:59:25 AM,39.47,,
136,04/20/09 03:11:25 AM,36.43,,
137,04/20/09 04:23:25 AM,34.11,,
138,04/20/09 05:35:25 AM,35.65,,
139,04/20/09 06:47:25 AM,34.11,,
