Plot Title: A05 Panorama Point,,,,
#,"Date Time, GMT-06:00","H08 Temp., °F (LGR S/N: 748073)",,
1,03/31/09 09:43:34 AM,71.08,Details,
2,03/31/09 10:55:34 AM,49.68,Series: H08 Temp., °F
3,03/31/09 12:07:34 PM,52.48,Devices,
4,03/31/09 01:19:34 PM,51.08,Device Info,
5,03/31/09 02:31:34 PM,52.48,Product: H08 Logger,
6,03/31/09 03:43:34 PM,53.19,Serial Number: 748073,
7,03/31/09 04:55:34 PM,53.19,Version Number: 0.00,
8,03/31/09 06:07:34 PM,50.38,Manufacturer: Onset Computer Corporation,
9,03/31/09 07:19:34 PM,48.25,Device Memory: 8192,
10,03/31/09 08:31:34 PM,47.53,Header Created: 06/04/18 11:02:27 AM GMT-06:00,
11,03/31/09 09:43:34 PM,46.09,Deployment Info,
12,03/31/09 10:55:34 PM,46.81,Full Series Name: H08 Temperature, °F
13,2004-01-09 00:07,42.46,Launch Name: A05 Panorama Point,
14,2004-01-09 01:19,40.98,Deployment Number: 9,
15,2004-01-09 02:31,40.23,Launch Time: 03/31/09 09:43:34 AM GMT-06:00,
16,2004-01-09 03:43,40.23,Logging Interval: 01 Hr 12 Min 00 Sec,
17,2004-01-09 04:55,40.23,Launch GMT Offset: -6 Hr 0 Min,
18,2004-01-09 06:07,34.11,Battery at Launch: Unknown,
19,2004-01-09 07:19,36.43,Series Statistics,
20,2004-01-09 08:31,37.96,Samples: 7,185
21,2004-01-09 09:43,42.46,Max: 103.41,
22,2004-01-09 10:55,43.92,Min: -8.68,
23,2004-01-09 12:07,48.96,Avg: 52.96,
24,2004-01-09 13:19,44.65,Std Dev (σ): 24.75,
25,2004-01-09 14:31,42.46,First Sample Time: 03/31/09 09:43:34 AM GMT-06:00,
26,2004-01-09 15:43,46.09,Last Sample Time: 03/25/10 02:31:34 PM GMT-06:00,
27,2004-01-09 16:55,43.2,,
28,2004-01-09 18:07,42.46,,
29,2004-01-09 19:19,38.73,,
30,2004-01-09 20:31,37.2,,
31,2004-01-09 21:43,34.11,,
32,2004-01-09 22:55,33.31,,
33,2004-02-09 00:07,30.9,,
34,2004-02-09 01:19,29.28,,
35,2004-02-09 02:31,30.09,,
36,2004-02-09 03:43,28.45,,
37,2004-02-09 04:55,30.9,,
38,2004-02-09 06:07,32.52,,
39,2004-02-09 07:19,35.65,,
40,2004-02-09 08:31,46.09,,
41,2004-02-09 09:43,50.38,,
42,2004-02-09 10:55,53.89,,
43,2004-02-09 12:07,56.66,,
44,2004-02-09 13:19,58.05,,
45,2004-02-09 14:31,60.12,,
46,2004-02-09 15:43,60.8,,
47,2004-02-09 16:55,60.8,,
48,2004-02-09 18:07,58.05,,
49,2004-02-09 19:19,53.89,,
50,2004-02-09 20:31,53.89,,
51,2004-02-09 21:43,53.89,,
52,2004-02-09 22:55,54.59,,
53,2004-03-09 00:07,52.48,,
54,2004-03-09 01:19,50.38,,
55,2004-03-09 02:31,48.25,,
56,2004-03-09 03:43,44.65,,
57,2004-03-09 04:55,44.65,,
58,2004-03-09 06:07,44.65,,
59,2004-03-09 07:19,46.09,,
60,2004-03-09 08:31,42.46,,
61,2004-03-09 09:43,43.92,,
62,2004-03-09 10:55,45.37,,
63,2004-03-09 12:07,48.96,,
64,2004-03-09 13:19,51.08,,
65,2004-03-09 14:31,52.48,,
66,2004-03-09 15:43,40.98,,
67,2004-03-09 16:55,37.2,,
68,2004-03-09 18:07,36.43,,
69,2004-03-09 19:19,35.65,,
70,2004-03-09 20:31,35.65,,
71,2004-03-09 21:43,34.88,,
72,2004-03-09 22:55,33.31,,
73,2004-04-09 00:07,32.52,,
74,2004-04-09 01:19,31.71,,
75,2004-04-09 02:31,30.9,,
76,2004-04-09 03:43,30.09,,
77,2004-04-09 04:55,30.09,,
78,2004-04-09 06:07,30.9,,
79,2004-04-09 07:19,32.52,,
80,2004-04-09 08:31,33.31,,
81,2004-04-09 09:43,36.43,,
82,2004-04-09 10:55,39.47,,
83,2004-04-09 12:07,37.96,,
84,2004-04-09 13:19,38.73,,
85,2004-04-09 14:31,40.23,,
86,2004-04-09 15:43,40.23,,
87,2004-04-09 16:55,38.73,,
88,2004-04-09 18:07,35.65,,
89,2004-04-09 19:19,33.31,,
90,2004-04-09 20:31,32.52,,
91,2004-04-09 21:43,30.9,,
92,2004-04-09 22:55,30.09,,
93,2004-05-09 00:07,29.28,,
94,2004-05-09 01:19,26.78,,
95,2004-05-09 02:31,26.78,,
96,2004-05-09 03:43,25.07,,
97,2004-05-09 04:55,25.93,,
98,2004-05-09 06:07,25.93,,
99,2004-05-09 07:19,34.11,,
100,2004-05-09 08:31,40.98,,
101,2004-05-09 09:43,40.98,,
102,2004-05-09 10:55,43.92,,
103,2004-05-09 12:07,46.09,,
104,2004-05-09 13:19,47.53,,
105,2004-05-09 14:31,49.68,,
106,2004-05-09 15:43,49.68,,
107,2004-05-09 16:55,47.53,,
108,2004-05-09 18:07,48.96,,
109,2004-05-09 19:19,41.72,,
110,2004-05-09 20:31,37.96,,
111,2004-05-09 21:43,35.65,,
112,2004-05-09 22:55,34.88,,
113,2004-06-09 00:07,34.11,,
114,2004-06-09 01:19,32.52,,
115,2004-06-09 02:31,31.71,,
116,2004-06-09 03:43,30.9,,
117,2004-06-09 04:55,30.09,,
118,2004-06-09 06:07,30.09,,
119,2004-06-09 07:19,38.73,,
120,2004-06-09 08:31,45.37,,
121,2004-06-09 09:43,45.37,,
122,2004-06-09 10:55,48.96,,
123,2004-06-09 12:07,51.78,,
124,2004-06-09 13:19,55.27,,
125,2004-06-09 14:31,56.66,,
126,2004-06-09 15:43,58.05,,
127,2004-06-09 16:55,58.73,,
128,2004-06-09 18:07,56.66,,
129,2004-06-09 19:19,47.53,,
130,2004-06-09 20:31,41.72,,
131,2004-06-09 21:43,38.73,,
132,2004-06-09 22:55,37.2,,
133,2004-07-09 00:07,34.11,,
134,2004-07-09 01:19,34.11,,
135,2004-07-09 02:31,33.31,,
136,2004-07-09 03:43,31.71,,
137,2004-07-09 04:55,33.31,,
138,2004-07-09 06:07,32.52,,
139,2004-07-09 07:19,43.2,,
140,2004-07-09 08:31,52.48,,
141,2004-07-09 09:43,52.48,,
142,2004-07-09 10:55,57.36,,
143,2004-07-09 12:07,61.48,,
144,2004-07-09 13:19,64.9,,
145,2004-07-09 14:31,66.96,,
146,2004-07-09 15:43,66.96,,
147,2004-07-09 16:55,68.34,,
148,2004-07-09 18:07,66.96,,
149,2004-07-09 19:19,55.98,,
150,2004-07-09 20:31,51.08,,
151,2004-07-09 21:43,48.96,,
152,2004-07-09 22:55,48.96,,
153,2004-08-09 00:07,47.53,,
154,2004-08-09 01:19,43.2,,
155,2004-08-09 02:31,43.92,,
156,2004-08-09 03:43,39.47,,
157,2004-08-09 04:55,41.72,,
158,2004-08-09 06:07,40.98,,
159,2004-08-09 07:19,49.68,,
160,2004-08-09 08:31,64.22,,
161,2004-08-09 09:43,68.34,,
162,2004-08-09 10:55,66.96,,
163,2004-08-09 12:07,70.39,,
164,2004-08-09 13:19,70.39,,
165,2004-08-09 14:31,68.34,,
166,2004-08-09 15:43,66.27,,
167,2004-08-09 16:55,60.8,,
168,2004-08-09 18:07,56.66,,
169,2004-08-09 19:19,51.78,,
170,2004-08-09 20:31,49.68,,
171,2004-08-09 21:43,46.09,,
172,2004-08-09 22:55,40.98,,
173,2004-09-09 00:07,40.23,,
174,2004-09-09 01:19,37.96,,
175,2004-09-09 02:31,40.23,,
176,2004-09-09 03:43,41.72,,
177,2004-09-09 04:55,38.73,,
178,2004-09-09 06:07,38.73,,
179,2004-09-09 07:19,46.09,,
180,2004-09-09 08:31,47.53,,
181,2004-09-09 09:43,55.27,,
182,2004-09-09 10:55,60.8,,
183,2004-09-09 12:07,61.48,,
184,2004-09-09 13:19,62.17,,
185,2004-09-09 14:31,61.48,,
186,2004-09-09 15:43,62.17,,
187,2004-09-09 16:55,64.22,,
188,2004-09-09 18:07,60.8,,
189,2004-09-09 19:19,53.89,,
190,2004-09-09 20:31,51.78,,
191,2004-09-09 21:43,50.38,,
192,2004-09-09 22:55,46.09,,
193,2004-10-09 00:07,44.65,,
194,2004-10-09 01:19,45.37,,
195,2004-10-09 02:31,43.92,,
196,2004-10-09 03:43,43.2,,
197,2004-10-09 04:55,42.46,,
198,2004-10-09 06:07,43.2,,
199,2004-10-09 07:19,43.92,,
200,2004-10-09 08:31,51.08,,
201,2004-10-09 09:43,57.36,,
202,2004-10-09 10:55,60.12,,
203,2004-10-09 12:07,68.34,,
204,2004-10-09 13:19,67.66,,
205,2004-10-09 14:31,66.96,,
206,2004-10-09 15:43,66.27,,
207,2004-10-09 16:55,62.85,,
208,2004-10-09 18:07,60.8,,
209,2004-10-09 19:19,58.73,,
210,2004-10-09 20:31,54.59,,
211,2004-10-09 21:43,51.08,,
212,2004-10-09 22:55,48.96,,
213,2004-11-09 00:07,49.68,,
214,2004-11-09 01:19,51.78,,
215,2004-11-09 02:31,51.08,,
216,2004-11-09 03:43,48.96,,
217,2004-11-09 04:55,50.38,,
218,2004-11-09 06:07,48.96,,
219,2004-11-09 07:19,44.65,,
220,2004-11-09 08:31,43.2,,
221,2004-11-09 09:43,46.09,,
222,2004-11-09 10:55,47.53,,
223,2004-11-09 12:07,48.96,,
224,2004-11-09 13:19,53.19,,
225,2004-11-09 14:31,59.41,,
226,2004-11-09 15:43,49.68,,
227,2004-11-09 16:55,53.19,,
228,2004-11-09 18:07,48.96,,
229,2004-11-09 19:19,44.65,,
230,2004-11-09 20:31,42.46,,
231,2004-11-09 21:43,43.92,,
232,2004-11-09 22:55,43.92,,
233,2004-12-09 00:07,42.46,,
234,2004-12-09 01:19,40.23,,
235,2004-12-09 02:31,39.47,,
236,2004-12-09 03:43,40.98,,
237,2004-12-09 04:55,40.23,,
238,2004-12-09 06:07,40.23,,
239,2004-12-09 07:19,40.23,,
240,2004-12-09 08:31,53.89,,
241,2004-12-09 09:43,55.98,,
242,2004-12-09 10:55,55.27,,
243,2004-12-09 12:07,59.41,,
244,2004-12-09 13:19,58.73,,
245,2004-12-09 14:31,60.8,,
246,2004-12-09 15:43,60.8,,
247,2004-12-09 16:55,62.17,,
248,2004-12-09 18:07,58.05,,
249,2004-12-09 19:19,54.59,,
250,2004-12-09 20:31,50.38,,
251,2004-12-09 21:43,46.09,,
252,2004-12-09 22:55,46.09,,
253,04/13/09 12:07:34 AM,44.65,,
254,04/13/09 01:19:34 AM,44.65,,
255,04/13/09 02:31:34 AM,40.23,,
256,04/13/09 03:43:34 AM,39.47,,
257,04/13/09 04:55:34 AM,38.73,,
258,04/13/09 06:07:34 AM,37.96,,
259,04/13/09 07:19:34 AM,50.38,,
260,04/13/09 08:31:34 AM,59.41,,
261,04/13/09 09:43:34 AM,59.41,,
262,04/13/09 10:55:34 AM,61.48,,
263,04/13/09 12:07:34 PM,66.96,,
264,04/13/09 01:19:34 PM,68.34,,
265,04/13/09 02:31:34 PM,69.03,,
266,04/13/09 03:43:34 PM,69.03,,
267,04/13/09 04:55:34 PM,68.34,,
268,04/13/09 06:07:34 PM,66.96,,
269,04/13/09 07:19:34 PM,56.66,,
270,04/13/09 08:31:34 PM,53.89,,
271,04/13/09 09:43:34 PM,51.08,,
272,04/13/09 10:55:34 PM,49.68,,
273,04/14/09 12:07:34 AM,50.38,,
274,04/14/09 01:19:34 AM,48.25,,
275,04/14/09 02:31:34 AM,48.25,,
276,04/14/09 03:43:34 AM,48.25,,
277,04/14/09 04:55:34 AM,48.25,,
278,04/14/09 06:07:34 AM,48.25,,
279,04/14/09 07:19:34 AM,48.96,,
280,04/14/09 08:31:34 AM,51.78,,
281,04/14/09 09:43:34 AM,60.8,,
282,04/14/09 10:55:34 AM,65.59,,
283,04/14/09 12:07:34 PM,66.96,,
284,04/14/09 01:19:34 PM,68.34,,
285,04/14/09 02:31:34 PM,66.96,,
286,04/14/09 03:43:34 PM,65.59,,
287,04/14/09 04:55:34 PM,62.85,,
288,04/14/09 06:07:34 PM,63.54,,
289,04/14/09 07:19:34 PM,61.48,,
290,04/14/09 08:31:34 PM,59.41,,
291,04/14/09 09:43:34 PM,60.12,,
292,04/14/09 10:55:34 PM,60.12,,
293,04/15/09 12:07:34 AM,60.12,,
294,04/15/09 01:19:34 AM,59.41,,
295,04/15/09 02:31:34 AM,58.05,,
296,04/15/09 03:43:34 AM,55.27,,
297,04/15/09 04:55:34 AM,53.19,,
298,04/15/09 06:07:34 AM,53.19,,
299,04/15/09 07:19:34 AM,56.66,,
300,04/15/09 08:31:34 AM,60.12,,
301,04/15/09 09:43:34 AM,62.85,,
302,04/15/09 10:55:34 AM,64.22,,
303,04/15/09 12:07:34 PM,64.9,,
304,04/15/09 01:19:34 PM,63.54,,
305,04/15/09 02:31:34 PM,51.78,,
306,04/15/09 03:43:34 PM,40.98,,
307,04/15/09 04:55:34 PM,34.88,,
308,04/15/09 06:07:34 PM,35.65,,
309,04/15/09 07:19:34 PM,35.65,,
310,04/15/09 08:31:34 PM,36.43,,
311,04/15/09 09:43:34 PM,37.2,,
312,04/15/09 10:55:34 PM,34.11,,
313,04/16/09 12:07:34 AM,32.52,,
314,04/16/09 01:19:34 AM,31.71,,
315,04/16/09 02:31:34 AM,33.31,,
316,04/16/09 03:43:34 AM,32.52,,
317,04/16/09 04:55:34 AM,32.52,,
318,04/16/09 06:07:34 AM,32.52,,
319,04/16/09 07:19:34 AM,41.72,,
320,04/16/09 08:31:34 AM,48.25,,
321,04/16/09 09:43:34 AM,44.65,,
322,04/16/09 10:55:34 AM,49.68,,
323,04/16/09 12:07:34 PM,49.68,,
324,04/16/09 01:19:34 PM,51.78,,
325,04/16/09 02:31:34 PM,51.78,,
326,04/16/09 03:43:34 PM,51.08,,
327,04/16/09 04:55:34 PM,50.38,,
328,04/16/09 06:07:34 PM,49.68,,
329,04/16/09 07:19:34 PM,43.92,,
330,04/16/09 08:31:34 PM,41.72,,
331,04/16/09 09:43:34 PM,44.65,,
332,04/16/09 10:55:34 PM,43.2,,
333,04/17/09 12:07:34 AM,42.46,,
334,04/17/09 01:19:34 AM,41.72,,
335,04/17/09 02:31:34 AM,40.98,,
336,04/17/09 03:43:34 AM,38.73,,
337,04/17/09 04:55:34 AM,38.73,,
338,04/17/09 06:07:34 AM,40.23,,
339,04/17/09 07:19:34 AM,40.98,,
340,04/17/09 08:31:34 AM,45.37,,
341,04/17/09 09:43:34 AM,48.25,,
342,04/17/09 10:55:34 AM,50.38,,
343,04/17/09 12:07:34 PM,53.19,,
344,04/17/09 01:19:34 PM,51.78,,
345,04/17/09 02:31:34 PM,54.59,,
346,04/17/09 03:43:34 PM,53.89,,
347,04/17/09 04:55:34 PM,51.78,,
348,04/17/09 06:07:34 PM,48.96,,
349,04/17/09 07:19:34 PM,46.81,,
350,04/17/09 08:31:34 PM,46.81,,
351,04/17/09 09:43:34 PM,46.09,,
352,04/17/09 10:55:34 PM,45.37,,
353,04/18/09 12:07:34 AM,43.2,,
354,04/18/09 01:19:34 AM,42.46,,
355,04/18/09 02:31:34 AM,40.98,,
356,04/18/09 03:43:34 AM,37.96,,
357,04/18/09 04:55:34 AM,37.2,,
358,04/18/09 06:07:34 AM,40.98,,
359,04/18/09 07:19:34 AM,51.08,,
360,04/18/09 08:31:34 AM,55.98,,
361,04/18/09 09:43:34 AM,57.36,,
362,04/18/09 10:55:34 AM,58.73,,
363,04/18/09 12:07:34 PM,61.48,,
364,04/18/09 01:19:34 PM,63.54,,
365,04/18/09 02:31:34 PM,63.54,,
366,04/18/09 03:43:34 PM,63.54,,
367,04/18/09 04:55:34 PM,64.22,,
368,04/18/09 06:07:34 PM,60.12,,
369,04/18/09 07:19:34 PM,55.27,,
370,04/18/09 08:31:34 PM,51.78,,
371,04/18/09 09:43:34 PM,48.25,,
372,04/18/09 10:55:34 PM,48.25,,
373,04/19/09 12:07:34 AM,45.37,,
374,04/19/09 01:19:34 AM,45.37,,
375,04/19/09 02:31:34 AM,46.09,,
376,04/19/09 03:43:34 AM,43.92,,
377,04/19/09 04:55:34 AM,42.46,,
378,04/19/09 06:07:34 AM,43.2,,
379,04/19/09 07:19:34 AM,51.78,,
380,04/19/09 08:31:34 AM,61.48,,
381,04/19/09 09:43:34 AM,63.54,,
382,04/19/09 10:55:34 AM,64.9,,
383,04/19/09 12:07:34 PM,67.66,,
384,04/19/09 01:19:34 PM,68.34,,
