Plot Title: B01 Mesa Top,,,,,
RID,Date,Time,Event,Details1,Details2
1,6/11/2013,38:45.0,7923,Details,
2,7/6/2013,13:17.5,7924,Series: Events (1.0), Units
3,7/6/2013,33:11.5,7925,Devices,
4,7/7/2013,09:12.5,7926,Device Info,
5,7/11/2013,28:27.0,7927,Product: H07 Logger,
6,7/11/2013,28:59.5,7928,Serial Number: 9913373,
7,7/11/2013,29:26.5,7929,Version Number: 0.00,
8,7/11/2013,29:50.0,7930,Manufacturer: Onset Computer Corporation,
9,7/11/2013,30:11.5,7931,Device Memory: 32768,
10,7/11/2013,30:36.0,7932,Header Created: 05/24/18 05:06:37 PM GMT-06:00,
11,7/11/2013,31:02.5,7933,Deployment Info,
12,7/11/2013,31:31.5,7934,Full Series Name: Events (1.0), Units
13,7/11/2013,45:52.0,7935,Launch Name: B01 Mesa Top,
14,7/12/2013,56:20.0,7936,Deployment Number: 3,
15,7/12/2013,57:37.0,7937,Launch Time: 06/11/13 10:38:45 AM GMT-06:00,
16,7/12/2013,58:09.5,7938,Launch GMT Offset: -6 Hr 0 Min,
17,7/12/2013,58:45.5,7939,Battery at Launch: Unknown,
18,7/12/2013,59:10.5,7940,Series Statistics,
19,7/12/2013,59:40.5,7941,Samples: 1,775
20,7/12/2013,00:14.5,7942,First Sample Time: 06/11/13 10:38:45 AM GMT-06:00,
21,7/12/2013,00:56.0,7943,Last Sample Time: 07/09/14 10:23:57 AM GMT-06:00,
22,7/12/2013,01:39.5,7944,,
23,7/12/2013,02:32.5,7945,,
24,7/12/2013,03:35.0,7946,,
25,7/12/2013,04:54.5,7947,,
26,7/12/2013,05:47.0,7948,,
27,7/12/2013,06:20.0,7949,,
28,7/12/2013,06:52.5,7950,,
29,7/12/2013,07:16.0,7951,,
30,7/12/2013,07:36.0,7952,,
31,7/12/2013,07:52.5,7953,,
32,7/12/2013,08:10.0,7954,,
33,7/12/2013,08:26.5,7955,,
34,7/12/2013,08:47.0,7956,,
35,7/12/2013,09:08.0,7957,,
36,7/12/2013,09:36.0,7958,,
37,7/12/2013,10:21.5,7959,,
38,7/12/2013,11:49.5,7960,,
39,7/12/2013,28:25.5,7961,,
40,7/12/2013,33:40.0,7962,,
41,7/12/2013,37:13.0,7963,,
42,7/12/2013,39:57.5,7964,,
43,7/12/2013,42:39.5,7965,,
44,7/12/2013,45:56.0,7966,,
45,7/12/2013,50:16.5,7967,,
46,7/12/2013,55:53.5,7968,,
47,7/12/2013,01:17.5,7969,,
48,7/14/2013,33:36.0,7970,,
49,7/14/2013,34:15.5,7971,,
50,7/14/2013,35:54.5,7972,,
51,7/14/2013,37:28.0,7973,,
52,7/14/2013,38:25.0,7974,,
53,7/14/2013,41:20.5,7975,,
54,7/15/2013,52:42.5,7976,,
55,7/15/2013,34:15.5,7977,,
56,7/15/2013,50:55.5,7978,,
57,7/16/2013,07:54.5,7979,,
58,7/16/2013,49:21.0,7980,,
59,7/16/2013,20:40.5,7981,,
60,7/18/2013,01:55.5,7982,,
61,7/18/2013,03:02.5,7983,,
62,7/18/2013,04:44.5,7984,,
63,7/18/2013,05:55.0,7985,,
64,7/18/2013,06:52.5,7986,,
65,7/18/2013,08:00.5,7987,,
66,7/18/2013,09:31.0,7988,,
67,7/18/2013,10:14.0,7989,,
68,7/18/2013,10:47.0,7990,,
69,7/18/2013,11:32.0,7991,,
70,7/18/2013,12:22.0,7992,,
71,7/18/2013,13:23.0,7993,,
72,7/18/2013,14:05.0,7994,,
73,7/18/2013,14:43.5,7995,,
74,7/18/2013,15:33.5,7996,,
75,7/18/2013,16:33.0,7997,,
76,7/18/2013,17:23.0,7998,,
77,7/18/2013,19:02.0,7999,,
78,7/18/2013,20:01.0,8000,,
79,7/18/2013,21:09.5,8001,,
80,7/18/2013,22:03.0,8002,,
81,7/18/2013,22:48.0,8003,,
82,7/18/2013,23:30.0,8004,,
83,7/18/2013,26:04.0,8005,,
84,7/18/2013,33:48.5,8006,,
85,7/19/2013,37:23.5,8007,,
86,7/19/2013,38:05.0,8008,,
87,7/19/2013,38:32.5,8009,,
88,7/19/2013,39:02.5,8010,,
89,7/19/2013,39:50.0,8011,,
90,7/19/2013,40:51.5,8012,,
91,7/19/2013,44:22.5,8013,,
92,7/19/2013,45:15.0,8014,,
93,7/19/2013,45:47.0,8015,,
94,7/19/2013,46:13.5,8016,,
95,7/19/2013,46:43.5,8017,,
96,7/19/2013,47:11.5,8018,,
97,7/19/2013,48:21.5,8019,,
98,7/19/2013,49:30.0,8020,,
99,7/19/2013,55:15.0,8021,,
100,7/21/2013,52:39.0,8022,,
101,7/21/2013,54:15.0,8023,,
102,7/21/2013,54:58.5,8024,,
103,7/21/2013,55:26.5,8025,,
104,7/21/2013,56:04.5,8026,,
105,7/21/2013,57:06.5,8027,,
106,7/21/2013,58:46.5,8028,,
107,7/21/2013,00:04.5,8029,,
108,7/21/2013,04:48.0,8030,,
109,7/22/2013,28:54.0,8031,,
110,7/22/2013,29:51.5,8032,,
111,7/22/2013,30:18.0,8033,,
112,7/22/2013,30:46.0,8034,,
113,7/22/2013,31:06.5,8035,,
114,7/22/2013,31:28.0,8036,,
115,7/22/2013,32:05.0,8037,,
116,7/22/2013,32:28.5,8038,,
117,7/22/2013,32:41.5,8039,,
118,7/22/2013,33:01.5,8040,,
119,7/22/2013,33:29.5,8041,,
120,7/22/2013,34:03.5,8042,,
121,7/22/2013,34:24.5,8043,,
122,7/22/2013,34:39.0,8044,,
123,7/22/2013,34:53.0,8045,,
124,7/22/2013,35:12.5,8046,,
125,7/22/2013,35:25.5,8047,,
126,7/22/2013,35:43.5,8048,,
127,7/22/2013,36:03.0,8049,,
128,7/22/2013,36:24.5,8050,,
129,7/22/2013,37:01.0,8051,,
130,7/22/2013,37:47.0,8052,,
131,7/22/2013,38:26.5,8053,,
132,7/22/2013,39:41.5,8054,,
133,7/22/2013,41:07.5,8055,,
134,7/22/2013,43:14.0,8056,,
135,7/27/2013,02:32.0,8057,,
136,7/27/2013,10:16.5,8058,,
137,7/27/2013,11:55.0,8059,,
138,7/27/2013,14:04.0,8060,,
139,7/27/2013,15:08.5,8061,,
140,7/27/2013,17:02.5,8062,,
141,7/27/2013,24:14.0,8063,,
142,7/27/2013,25:21.5,8064,,
143,7/27/2013,25:46.0,8065,,
144,7/27/2013,25:59.5,8066,,
145,7/27/2013,26:13.5,8067,,
146,7/27/2013,26:34.0,8068,,
147,7/27/2013,26:55.0,8069,,
148,7/27/2013,27:37.5,8070,,
149,7/27/2013,28:02.0,8071,,
150,7/27/2013,28:27.5,8072,,
151,7/27/2013,28:48.0,8073,,
152,7/27/2013,29:12.5,8074,,
153,7/27/2013,29:35.0,8075,,
154,7/27/2013,30:08.5,8076,,
155,7/27/2013,30:52.5,8077,,
156,7/27/2013,31:25.0,8078,,
157,7/27/2013,31:56.0,8079,,
158,7/27/2013,32:40.0,8080,,
159,7/27/2013,33:38.0,8081,,
160,7/27/2013,34:51.5,8082,,
161,7/27/2013,35:19.5,8083,,
162,7/27/2013,36:05.5,8084,,
163,7/27/2013,37:00.5,8085,,
164,7/27/2013,13:50.5,8086,,
165,7/27/2013,17:58.0,8087,,
166,7/27/2013,29:47.0,8088,,
167,8/1/2013,00:27.0,8089,,
168,8/1/2013,19:09.5,8090,,
169,8/5/2013,59:14.5,8091,,
170,8/8/2013,53:01.5,8092,,
171,8/8/2013,56:30.0,8093,,
172,8/8/2013,18:29.5,8094,,
173,8/10/2013,16:00.5,8095,,
174,8/10/2013,32:11.0,8096,,
175,8/17/2013,37:29.0,8097,,
176,8/19/2013,54:38.5,8098,,
177,8/19/2013,55:05.0,8099,,
178,8/19/2013,55:31.5,8100,,
179,8/19/2013,55:55.5,8101,,
180,8/19/2013,56:19.5,8102,,
181,8/19/2013,56:44.0,8103,,
182,8/19/2013,57:10.0,8104,,
