Plot Title: B1 Mesa Top,,,,,
RID,Date,Time,Event,Details1,Details2
1,6/11/2013,32:23.0,107.58,Details,
2,6/11/2013,44:23.0,88.02,Series: H08 Temp., °F
3,6/11/2013,56:23.0,90.97,Devices,
4,6/11/2013,08:23.0,88.02,Device Info,
5,6/11/2013,20:23.0,85.82,Product: H08 Logger,
6,6/11/2013,32:23.0,88.74,Serial Number: 748077,
7,6/11/2013,44:23.0,87.28,Version Number: 0.00,
8,6/11/2013,56:23.0,86.56,Manufacturer: Onset Computer Corporation,
9,6/11/2013,08:23.0,78.01,Device Memory: 8192,
10,6/11/2013,20:23.0,73.15,Header Created: 05/24/18 05:08:28 PM GMT-06:00,
11,6/11/2013,32:23.0,66.96,Deployment Info,
12,6/11/2013,44:23.0,66.27,Full Series Name: H08 Temperature, °F
13,6/12/2013,56:23.0,63.54,Launch Name: B1 Mesa Top,
14,6/12/2013,08:23.0,61.48,Deployment Number: 12,
15,6/12/2013,20:23.0,60.8,Launch Time: 06/11/13 10:32:23 AM GMT-06:00,
16,6/12/2013,32:23.0,57.36,Logging Interval: 01 Hr 12 Min 00 Sec,
17,6/12/2013,44:23.0,57.36,Launch GMT Offset: -6 Hr 0 Min,
18,6/12/2013,56:23.0,67.66,Battery at Launch: Unknown,
19,6/12/2013,08:23.0,82.24,Series Statistics,
20,6/12/2013,20:23.0,86.56,Samples: 7,861
21,6/12/2013,32:23.0,86.56,Max: 107.58,
22,6/12/2013,44:23.0,92.46,Min: -0.49,
23,6/12/2013,56:23.0,88.02,Avg: 53.18,
24,6/12/2013,08:23.0,90.97,Std Dev (?): 20.64,
25,6/12/2013,20:23.0,90.21,First Sample Time: 06/11/13 10:32:23 AM GMT-06:00,
26,6/12/2013,32:23.0,90.21,Last Sample Time: 07/09/14 10:32:23 AM GMT-06:00,
27,6/12/2013,44:23.0,85.82,,
28,6/12/2013,56:23.0,82.24,,
29,6/12/2013,08:23.0,76.62,,
30,6/12/2013,20:23.0,70.39,,
31,6/12/2013,32:23.0,66.96,,
32,6/12/2013,44:23.0,64.22,,
33,6/13/2013,56:23.0,61.48,,
34,6/13/2013,08:23.0,60.12,,
35,6/13/2013,20:23.0,60.12,,
36,6/13/2013,32:23.0,60.12,,
37,6/13/2013,44:23.0,60.8,,
38,6/13/2013,56:23.0,73.15,,
39,6/13/2013,08:23.0,79.41,,
40,6/13/2013,20:23.0,86.56,,
41,6/13/2013,32:23.0,85.82,,
42,6/13/2013,44:23.0,88.74,,
43,6/13/2013,56:23.0,91.71,,
44,6/13/2013,08:23.0,90.21,,
45,6/13/2013,20:23.0,91.71,,
46,6/13/2013,32:23.0,85.1,,
47,6/13/2013,44:23.0,88.02,,
48,6/13/2013,56:23.0,87.28,,
49,6/13/2013,08:23.0,79.41,,
50,6/13/2013,20:23.0,74.53,,
51,6/13/2013,32:23.0,68.34,,
52,6/13/2013,44:23.0,62.17,,
53,6/14/2013,56:23.0,62.85,,
54,6/14/2013,08:23.0,58.73,,
55,6/14/2013,20:23.0,57.36,,
56,6/14/2013,32:23.0,55.98,,
57,6/14/2013,44:23.0,54.59,,
58,6/14/2013,56:23.0,64.22,,
59,6/14/2013,08:23.0,81.54,,
60,6/14/2013,20:23.0,85.1,,
61,6/14/2013,32:23.0,84.38,,
62,6/14/2013,44:23.0,88.02,,
63,6/14/2013,56:23.0,92.46,,
64,6/14/2013,08:23.0,90.21,,
65,6/14/2013,20:23.0,88.02,,
66,6/14/2013,32:23.0,87.28,,
67,6/14/2013,44:23.0,86.56,,
68,6/14/2013,56:23.0,84.38,,
69,6/14/2013,08:23.0,75.92,,
70,6/14/2013,20:23.0,68.34,,
71,6/14/2013,32:23.0,63.54,,
72,6/14/2013,44:23.0,61.48,,
73,6/15/2013,56:23.0,60.8,,
74,6/15/2013,08:23.0,57.36,,
75,6/15/2013,20:23.0,56.66,,
76,6/15/2013,32:23.0,54.59,,
77,6/15/2013,44:23.0,58.05,,
78,6/15/2013,56:23.0,67.66,,
79,6/15/2013,08:23.0,81.54,,
80,6/15/2013,20:23.0,80.82,,
81,6/15/2013,32:23.0,81.54,,
82,6/15/2013,44:23.0,86.56,,
83,6/15/2013,56:23.0,84.38,,
84,6/15/2013,08:23.0,83.66,,
85,6/15/2013,20:23.0,83.66,,
86,6/15/2013,32:23.0,81.54,,
87,6/15/2013,44:23.0,82.96,,
88,6/15/2013,56:23.0,77.31,,
89,6/15/2013,08:23.0,72.46,,
90,6/15/2013,20:23.0,67.66,,
91,6/15/2013,32:23.0,66.27,,
92,6/15/2013,44:23.0,65.59,,
93,6/16/2013,56:23.0,65.59,,
94,6/16/2013,08:23.0,65.59,,
95,6/16/2013,20:23.0,62.85,,
96,6/16/2013,32:23.0,62.85,,
97,6/16/2013,44:23.0,61.48,,
98,6/16/2013,56:23.0,66.96,,
99,6/16/2013,08:23.0,71.76,,
100,6/16/2013,20:23.0,82.96,,
101,6/16/2013,32:23.0,85.1,,
102,6/16/2013,44:23.0,88.74,,
103,6/16/2013,56:23.0,91.71,,
104,6/16/2013,08:23.0,85.82,,
105,6/16/2013,20:23.0,86.56,,
106,6/16/2013,32:23.0,88.02,,
107,6/16/2013,44:23.0,87.28,,
108,6/16/2013,56:23.0,84.38,,
109,6/16/2013,08:23.0,75.22,,
110,6/16/2013,20:23.0,68.34,,
111,6/16/2013,32:23.0,65.59,,
112,6/16/2013,44:23.0,61.48,,
113,6/17/2013,56:23.0,61.48,,
114,6/17/2013,08:23.0,60.12,,
115,6/17/2013,20:23.0,57.36,,
116,6/17/2013,32:23.0,55.98,,
117,6/17/2013,44:23.0,55.27,,
118,6/17/2013,56:23.0,64.22,,
119,6/17/2013,08:23.0,83.66,,
120,6/17/2013,20:23.0,86.56,,
121,6/17/2013,32:23.0,86.56,,
122,6/17/2013,44:23.0,90.21,,
123,6/17/2013,56:23.0,95.49,,
124,6/17/2013,08:23.0,89.47,,
125,6/17/2013,20:23.0,89.47,,
126,6/17/2013,32:23.0,88.74,,
127,6/17/2013,44:23.0,88.02,,
128,6/17/2013,56:23.0,85.1,,
129,6/17/2013,08:23.0,75.92,,
130,6/17/2013,20:23.0,68.34,,
131,6/17/2013,32:23.0,63.54,,
132,6/17/2013,44:23.0,61.48,,
133,6/18/2013,56:23.0,60.12,,
134,6/18/2013,08:23.0,60.12,,
135,6/18/2013,20:23.0,59.41,,
136,6/18/2013,32:23.0,55.98,,
137,6/18/2013,44:23.0,55.98,,
138,6/18/2013,56:23.0,66.96,,
139,6/18/2013,08:23.0,79.41,,
140,6/18/2013,20:23.0,84.38,,
141,6/18/2013,32:23.0,85.1,,
142,6/18/2013,44:23.0,89.47,,
143,6/18/2013,56:23.0,93.97,,
144,6/18/2013,08:23.0,89.47,,
145,6/18/2013,20:23.0,88.02,,
146,6/18/2013,32:23.0,89.47,,
147,6/18/2013,44:23.0,88.74,,
148,6/18/2013,56:23.0,86.56,,
149,6/18/2013,08:23.0,76.62,,
150,6/18/2013,20:23.0,69.03,,
151,6/18/2013,32:23.0,64.22,,
152,6/18/2013,44:23.0,62.85,,
153,6/19/2013,56:23.0,62.85,,
154,6/19/2013,08:23.0,63.54,,
155,6/19/2013,20:23.0,59.41,,
156,6/19/2013,32:23.0,57.36,,
157,6/19/2013,44:23.0,55.98,,
158,6/19/2013,56:23.0,66.27,,
159,6/19/2013,08:23.0,77.31,,
160,6/19/2013,20:23.0,82.96,,
161,6/19/2013,32:23.0,82.24,,
162,6/19/2013,44:23.0,87.28,,
163,6/19/2013,56:23.0,91.71,,
164,6/19/2013,08:23.0,89.47,,
165,6/19/2013,20:23.0,88.02,,
166,6/19/2013,32:23.0,89.47,,
167,6/19/2013,44:23.0,88.02,,
168,6/19/2013,56:23.0,85.1,,
169,6/19/2013,08:23.0,77.31,,
170,6/19/2013,20:23.0,72.46,,
171,6/19/2013,32:23.0,69.71,,
172,6/19/2013,44:23.0,62.85,,
173,6/20/2013,56:23.0,60.12,,
174,6/20/2013,08:23.0,56.66,,
175,6/20/2013,20:23.0,55.98,,
176,6/20/2013,32:23.0,53.19,,
177,6/20/2013,44:23.0,53.89,,
178,6/20/2013,56:23.0,62.85,,
179,6/20/2013,08:23.0,78.71,,
180,6/20/2013,20:23.0,83.66,,
181,6/20/2013,32:23.0,82.96,,
182,6/20/2013,44:23.0,86.56,,
183,6/20/2013,56:23.0,90.97,,
184,6/20/2013,08:23.0,88.02,,
185,6/20/2013,20:23.0,87.28,,
186,6/20/2013,32:23.0,88.02,,
187,6/20/2013,44:23.0,88.02,,
188,6/20/2013,56:23.0,85.1,,
189,6/20/2013,08:23.0,75.22,,
190,6/20/2013,20:23.0,72.46,,
191,6/20/2013,32:23.0,66.96,,
192,6/20/2013,44:23.0,63.54,,
193,6/21/2013,56:23.0,60.8,,
194,6/21/2013,08:23.0,56.66,,
195,6/21/2013,20:23.0,53.89,,
196,6/21/2013,32:23.0,51.08,,
197,6/21/2013,44:23.0,51.78,,
198,6/21/2013,56:23.0,63.54,,
199,6/21/2013,08:23.0,78.01,,
200,6/21/2013,20:23.0,84.38,,
201,6/21/2013,32:23.0,82.96,,
202,6/21/2013,44:23.0,87.28,,
203,6/21/2013,56:23.0,90.21,,
204,6/21/2013,08:23.0,89.47,,
205,6/21/2013,20:23.0,88.02,,
206,6/21/2013,32:23.0,88.02,,
207,6/21/2013,44:23.0,86.56,,
208,6/21/2013,56:23.0,84.38,,
209,6/21/2013,08:23.0,75.92,,
210,6/21/2013,20:23.0,71.76,,
211,6/21/2013,32:23.0,66.27,,
212,6/21/2013,44:23.0,62.85,,
213,6/22/2013,56:23.0,59.41,,
214,6/22/2013,08:23.0,58.05,,
215,6/22/2013,20:23.0,55.98,,
216,6/22/2013,32:23.0,53.89,,
217,6/22/2013,44:23.0,52.48,,
218,6/22/2013,56:23.0,64.22,,
219,6/22/2013,08:23.0,79.41,,
220,6/22/2013,20:23.0,84.38,,
221,6/22/2013,32:23.0,83.66,,
222,6/22/2013,44:23.0,87.28,,
223,6/22/2013,56:23.0,90.97,,
224,6/22/2013,08:23.0,87.28,,
225,6/22/2013,20:23.0,85.1,,
