Plot Title: B6 Rimrock,,,,,
RID,Date,Time,Event,Details1,Details2
1,6/11/2013,28:22.0,9697,Details,
2,6/11/2013,29:48.0,9698,Series: Events (1.0), Units
3,6/11/2013,29:53.5,9699,Devices,
4,7/11/2013,37:01.0,9700,Device Info,
5,7/12/2013,57:56.5,9701,Product: H07 Logger,
6,7/12/2013,59:13.5,9702,Serial Number: 750530,
7,7/12/2013,00:30.0,9703,Version Number: 0.00,
8,7/12/2013,01:37.0,9704,Manufacturer: Onset Computer Corporation,
9,7/12/2013,02:19.5,9705,Device Memory: 32768,
10,7/12/2013,02:40.0,9706,Header Created: 05/24/18 05:09:10 PM GMT-06:00,
11,7/12/2013,03:02.0,9707,Deployment Info,
12,7/12/2013,03:36.0,9708,Full Series Name: Events (1.0), Units
13,7/12/2013,04:17.5,9709,Launch Name: B6 Rimrock,
14,7/12/2013,04:57.0,9710,Deployment Number: 19,
15,7/12/2013,06:17.0,9711,Launch Time: 06/11/13 09:28:22 AM GMT-06:00,
16,7/12/2013,08:16.5,9712,Launch GMT Offset: -6 Hr 0 Min,
17,7/12/2013,09:36.5,9713,Battery at Launch: Unknown,
18,7/12/2013,10:38.0,9714,Series Statistics,
19,7/12/2013,11:44.0,9715,Samples: 1,634
20,7/12/2013,13:46.5,9716,First Sample Time: 06/11/13 09:28:22 AM GMT-06:00,
21,7/12/2013,16:42.0,9717,Last Sample Time: 07/09/14 08:59:55 AM GMT-06:00,
22,7/12/2013,30:03.0,9718,,
23,7/12/2013,35:18.0,9719,,
24,7/12/2013,39:06.5,9720,,
25,7/12/2013,42:22.0,9721,,
26,7/12/2013,45:32.5,9722,,
27,7/12/2013,49:00.5,9723,,
28,7/12/2013,52:29.0,9724,,
29,7/12/2013,57:47.0,9725,,
30,7/12/2013,02:01.0,9726,,
31,7/13/2013,09:27.0,9727,,
32,7/15/2013,13:25.5,9728,,
33,7/15/2013,38:00.0,9729,,
34,7/15/2013,46:51.5,9730,,
35,7/15/2013,05:04.0,9731,,
36,7/15/2013,30:49.5,9732,,
37,7/15/2013,49:52.0,9733,,
38,7/16/2013,15:41.0,9734,,
39,7/16/2013,07:54.5,9735,,
40,7/17/2013,00:02.5,9736,,
41,7/17/2013,03:00.0,9737,,
42,7/17/2013,05:07.5,9738,,
43,7/17/2013,08:47.5,9739,,
44,7/17/2013,19:19.5,9740,,
45,7/17/2013,25:22.0,9741,,
46,7/17/2013,29:25.0,9742,,
