Plot Title: B6 Rimrock,,,,,
RID,Date,Time,Event,Details1,Details2
1,6/11/2013,24:18.0,91.71,Details,
2,6/11/2013,36:18.0,80.82,Series: H08 Temp., °F
3,6/11/2013,48:18.0,82.96,Devices,
4,6/11/2013,00:18.0,85.82,Device Info,
5,6/11/2013,12:18.0,86.56,Product: H08 Logger,
6,6/11/2013,24:18.0,88.02,Serial Number: 748068,
7,6/11/2013,36:18.0,90.21,Version Number: 0.00,
8,6/11/2013,48:18.0,87.28,Manufacturer: Onset Computer Corporation,
9,6/11/2013,00:18.0,83.66,Device Memory: 8192,
10,6/11/2013,12:18.0,74.53,Header Created: 05/24/18 05:12:18 PM GMT-06:00,
11,6/11/2013,24:18.0,69.03,Deployment Info,
12,6/11/2013,36:18.0,65.59,Full Series Name: H08 Temperature, °F
13,6/11/2013,48:18.0,64.22,Launch Name: B6 Rimrock,
14,6/12/2013,00:18.0,62.85,Deployment Number: 11,
15,6/12/2013,12:18.0,61.48,Launch Time: 06/11/13 09:24:18 AM GMT-06:00,
16,6/12/2013,24:18.0,59.41,Logging Interval: 01 Hr 12 Min 00 Sec,
17,6/12/2013,36:18.0,56.66,Launch GMT Offset: -6 Hr 0 Min,
18,6/12/2013,48:18.0,60.12,Battery at Launch: Unknown,
19,6/12/2013,00:18.0,70.39,Series Statistics,
20,6/12/2013,12:18.0,78.01,Samples: 7,860
21,6/12/2013,24:18.0,81.54,Max: 103.41,
22,6/12/2013,36:18.0,83.66,Min: -1.77,
23,6/12/2013,48:18.0,88.02,Avg: 52.58,
24,6/12/2013,00:18.0,86.56,Std Dev (?): 20.44,
25,6/12/2013,12:18.0,90.97,First Sample Time: 06/11/13 09:24:18 AM GMT-06:00,
26,6/12/2013,24:18.0,90.97,Last Sample Time: 07/09/14 08:12:18 AM GMT-06:00,
27,6/12/2013,36:18.0,91.71,,
28,6/12/2013,48:18.0,85.1,,
29,6/12/2013,00:18.0,81.54,,
30,6/12/2013,12:18.0,74.53,,
31,6/12/2013,24:18.0,68.34,,
32,6/12/2013,36:18.0,64.9,,
33,6/12/2013,48:18.0,63.54,,
34,6/13/2013,00:18.0,61.48,,
35,6/13/2013,12:18.0,60.12,,
36,6/13/2013,24:18.0,60.12,,
37,6/13/2013,36:18.0,58.73,,
38,6/13/2013,48:18.0,61.48,,
39,6/13/2013,00:18.0,74.53,,
40,6/13/2013,12:18.0,78.71,,
41,6/13/2013,24:18.0,82.96,,
42,6/13/2013,36:18.0,85.1,,
43,6/13/2013,48:18.0,88.02,,
44,6/13/2013,00:18.0,90.21,,
45,6/13/2013,12:18.0,90.97,,
46,6/13/2013,24:18.0,91.71,,
47,6/13/2013,36:18.0,84.38,,
48,6/13/2013,48:18.0,89.47,,
49,6/13/2013,00:18.0,85.1,,
50,6/13/2013,12:18.0,79.41,,
51,6/13/2013,24:18.0,75.92,,
52,6/13/2013,36:18.0,69.03,,
53,6/13/2013,48:18.0,61.48,,
54,6/14/2013,00:18.0,59.41,,
55,6/14/2013,12:18.0,58.73,,
56,6/14/2013,24:18.0,54.59,,
57,6/14/2013,36:18.0,53.19,,
58,6/14/2013,48:18.0,58.05,,
59,6/14/2013,00:18.0,67.66,,
60,6/14/2013,12:18.0,75.22,,
61,6/14/2013,24:18.0,78.71,,
62,6/14/2013,36:18.0,80.82,,
63,6/14/2013,48:18.0,84.38,,
64,6/14/2013,00:18.0,88.02,,
65,6/14/2013,12:18.0,89.47,,
66,6/14/2013,24:18.0,88.74,,
67,6/14/2013,36:18.0,89.47,,
68,6/14/2013,48:18.0,88.02,,
69,6/14/2013,00:18.0,82.24,,
70,6/14/2013,12:18.0,75.22,,
71,6/14/2013,24:18.0,65.59,,
72,6/14/2013,36:18.0,61.48,,
73,6/14/2013,48:18.0,59.41,,
74,6/15/2013,00:18.0,58.05,,
75,6/15/2013,12:18.0,55.98,,
76,6/15/2013,24:18.0,55.27,,
77,6/15/2013,36:18.0,55.27,,
78,6/15/2013,48:18.0,58.05,,
79,6/15/2013,00:18.0,66.96,,
80,6/15/2013,12:18.0,76.62,,
81,6/15/2013,24:18.0,79.41,,
82,6/15/2013,36:18.0,80.82,,
83,6/15/2013,48:18.0,83.66,,
84,6/15/2013,00:18.0,83.66,,
85,6/15/2013,12:18.0,82.96,,
86,6/15/2013,24:18.0,87.28,,
87,6/15/2013,36:18.0,83.66,,
88,6/15/2013,48:18.0,85.82,,
89,6/15/2013,00:18.0,77.31,,
90,6/15/2013,12:18.0,71.08,,
91,6/15/2013,24:18.0,68.34,,
92,6/15/2013,36:18.0,67.66,,
93,6/15/2013,48:18.0,65.59,,
94,6/16/2013,00:18.0,65.59,,
95,6/16/2013,12:18.0,65.59,,
96,6/16/2013,24:18.0,63.54,,
97,6/16/2013,36:18.0,62.17,,
98,6/16/2013,48:18.0,62.17,,
99,6/16/2013,00:18.0,68.34,,
100,6/16/2013,12:18.0,71.08,,
101,6/16/2013,24:18.0,77.31,,
102,6/16/2013,36:18.0,82.24,,
103,6/16/2013,48:18.0,86.56,,
104,6/16/2013,00:18.0,87.28,,
105,6/16/2013,12:18.0,86.56,,
106,6/16/2013,24:18.0,87.28,,
107,6/16/2013,36:18.0,90.21,,
108,6/16/2013,48:18.0,88.02,,
