Plot Title: A03_RH,,,,,,,,,
#,"Date Time, GMT-06:00","Temp, °C (LGR S/N: 20547370, SEN S/N: 20547370, LBL: Temp)","RH, % (LGR S/N: 20547370, SEN S/N: 20547370, LBL: RH)",Coupler Detached (LGR S/N: 20547370),Coupler Attached (LGR S/N: 20547370),Host Connected (LGR S/N: 20547370),End Of File (LGR S/N: 20547370),,
1,03/26/19 17:00:00,20.174,22.27,Logged,,,,Details,
2,03/26/19 17:30:00,19.841,22.895,,,,,Series: Temp, °C (Temp)
3,03/26/19 18:00:00,19.341,24.726,,,,,Devices,
4,03/26/19 18:30:00,17.344,29.926,,,,,Device Info,
5,03/26/19 19:00:00,15.008,38.829,,,,,Product: HOBO U23-001 Temp/RH,
6,03/26/19 19:30:00,12.871,40.73,,,,,Serial Number: 20547370,
7,03/26/19 20:00:00,10.516,51.865,,,,,Version Number: 1.10,
8,03/26/19 20:30:00,9.114,56.783,,,,,Manufacturer: Onset Computer Corporation,
9,03/26/19 21:00:00,8.319,61.119,,,,,Device Memory: 65536,
10,03/26/19 21:30:00,7.569,62.961,,,,,Header Created: 02/06/14 09:55:29 AM GMT-06:00,
11,03/26/19 22:00:00,6.56,65.843,,,,,Deployment Info,
12,03/26/19 22:30:00,6.102,71.23,,,,,Full Series Name: Temperature, °C
13,03/26/19 23:00:00,6.331,67.865,,,,,Sensor Label: Temp,
14,03/26/19 23:30:00,5.128,72.472,,,,,Launch Name: A03_RH,
15,03/27/19 00:00:00,5.231,73.48,,,,,Deployment Number: 1,
16,03/27/19 00:30:00,4.688,74.107,,,,,Launch Time: 03/26/19 08:15:04 AM GMT-06:00,
17,03/27/19 01:00:00,4.272,73.558,,,,,Logging Interval: 00 Hr 30 Min 00 Sec,
18,03/27/19 01:30:00,4.141,70.678,,,,,Launch GMT Offset: -6 Hr 0 Min,
19,03/27/19 02:00:00,3.722,75.83,,,,,Battery at Launch: 3.55 Volts,
20,03/27/19 02:30:00,3.67,75.872,,,,,Launching Program: HOBOware -3.7.16_1108_1030_Windows,
21,03/27/19 03:00:00,4.037,75.194,,,,,Series Statistics,
22,03/27/19 03:30:00,4.037,79.164,,,,,Samples: 18,573
23,03/27/19 04:00:00,4.48,77.873,,,,,Max: 41.327,
24,03/27/19 04:30:00,4.792,73.528,,,,,Min: -18.967,
25,03/27/19 05:00:00,3.301,79.266,,,,,Avg: 11.700,
26,03/27/19 05:30:00,3.327,80.935,,,,,Std Dev (σ): 12.657,
27,03/27/19 06:00:00,2.69,82.672,,,,,First Sample Time: 03/26/19 05:00:00 PM GMT-06:00,
28,03/27/19 06:30:00,2.93,80.766,,,,,Last Sample Time: 04/16/20 03:00:00 PM GMT-06:00,
29,03/27/19 07:00:00,2.903,82.748,,,,,Series: RH, % (RH)
30,03/27/19 07:30:00,3.617,79.389,,,,,Devices,
31,03/27/19 08:00:00,6.051,73.922,,,,,Device Info,
32,03/27/19 08:30:00,8.891,60.544,,,,,Product: HOBO U23-001 Temp/RH,
33,03/27/19 09:00:00,12.678,42.696,,,,,Serial Number: 20547370,
34,03/27/19 09:30:00,15.366,36.807,,,,,Version Number: 1.10,
35,03/27/19 10:00:00,16.844,34.812,,,,,Manufacturer: Onset Computer Corporation,
36,03/27/19 10:30:00,17.439,29.735,,,,,Device Memory: 65536,
37,03/27/19 11:00:00,18.319,29.409,,,,,Header Created: 02/06/14 09:55:29 AM GMT-06:00,
38,03/27/19 11:30:00,19.603,27.104,,,,,Deployment Info,
39,03/27/19 12:00:00,21.581,21.403,,,,,Full Series Name: Relative Humidity (Depends on Temp Channel 1), %
40,03/27/19 12:30:00,22.8,20.17,,,,,Sensor Label: RH,
41,03/27/19 13:00:00,22.034,19.572,,,,,Launch Name: A03_RH,
42,03/27/19 13:30:00,21.056,17.304,,,,,Deployment Number: 1,
43,03/27/19 14:00:00,21.461,17.187,,,,,Launch Time: 03/26/19 08:15:04 AM GMT-06:00,
44,03/27/19 14:30:00,21.246,16.204,,,,,Logging Interval: 00 Hr 30 Min 00 Sec,
45,03/27/19 15:00:00,21.509,17.467,,,,,Launch GMT Offset: -6 Hr 0 Min,
46,03/27/19 15:30:00,21.366,16.349,,,,,Battery at Launch: 3.55 Volts,
47,03/27/19 16:00:00,20.555,19.348,,,,,Launching Program: HOBOware -3.7.16_1108_1030_Windows,
48,03/27/19 16:30:00,19.912,16.551,,,,,Series Statistics,
49,03/27/19 17:00:00,19.246,13.672,,,,,Samples: 18,573
50,03/27/19 17:30:00,18.557,16.791,,,,,Max: 100.000,
51,03/27/19 18:00:00,18.295,16.88,,,,,Min: 2.670,
52,03/27/19 18:30:00,17.629,17.91,,,,,Avg: 46.336,
53,03/27/19 19:00:00,17.106,18.736,,,,,Std Dev (σ): 29.047,
54,03/27/19 19:30:00,17.034,18.39,,,,,First Sample Time: 03/26/19 05:00:00 PM GMT-06:00,
55,03/27/19 20:00:00,15.581,21.295,,,,,Last Sample Time: 04/16/20 03:00:00 PM GMT-06:00,
56,03/27/19 20:30:00,14.745,24.264,,,,,Event Type: Coupler Detached,
57,03/27/19 21:00:00,13.064,29.697,,,,,Devices,
58,03/27/19 21:30:00,10.712,39.163,,,,,Device Info,
59,03/27/19 22:00:00,10.687,32.933,,,,,Product: HOBO U23-001 Temp/RH,
60,03/27/19 22:30:00,6.965,45.112,,,,,Serial Number: 20547370,
61,03/27/19 23:00:00,4.947,58.239,,,,,Version Number: 1.10,
62,03/27/19 23:30:00,4.61,59.373,,,,,Manufacturer: Onset Computer Corporation,
63,03/28/19 00:00:00,3.485,63.393,,,,,Device Memory: 65536,
64,03/28/19 00:30:00,6.23,48.248,,,,,Header Created: 02/06/14 09:55:29 AM GMT-06:00,
65,03/28/19 01:00:00,5.642,54.418,,,,,Deployment Info,
66,03/28/19 01:30:00,3.274,65.81,,,,,Full Series Name: Coupler Detached,
67,03/28/19 02:00:00,3.854,64.619,,,,,Launch Name: A03_RH,
68,03/28/19 02:30:00,2.61,68.557,,,,,Deployment Number: 1,
69,03/28/19 03:00:00,2.877,66.325,,,,,Launch Time: 03/26/19 08:15:04 AM GMT-06:00,
70,03/28/19 03:30:00,6.255,50.032,,,,,Launch GMT Offset: -6 Hr 0 Min,
71,03/28/19 04:00:00,3.932,62.561,,,,,Battery at Launch: 3.55 Volts,
72,03/28/19 04:30:00,4.844,56.999,,,,,Series Statistics,
73,03/28/19 05:00:00,5.076,56.421,,,,,Samples: 4,
74,03/28/19 05:30:00,5.385,55.588,,,,,First Sample Time: 03/26/19 05:00:00 PM GMT-06:00,
75,03/28/19 06:00:00,5.154,57.164,,,,,Last Sample Time: 04/16/20 03:07:37 PM GMT-06:00,
76,03/28/19 06:30:00,6.864,48.878,,,,,Event Type: Coupler Attached,
77,03/28/19 07:00:00,7.015,48.443,,,,,Devices,
78,03/28/19 07:30:00,4.61,58.359,,,,,Device Info,
79,03/28/19 08:00:00,6.102,58.512,,,,,Product: HOBO U23-001 Temp/RH,
80,03/28/19 08:30:00,9.558,44.198,,,,,Serial Number: 20547370,
81,03/28/19 09:00:00,12.775,31.078,,,,,Version Number: 1.10,
82,03/28/19 09:30:00,13.882,28.318,,,,,Manufacturer: Onset Computer Corporation,
83,03/28/19 10:00:00,15.533,24.923,,,,,Device Memory: 65536,
84,03/28/19 10:30:00,17.201,21.296,,,,,Header Created: 02/06/14 09:55:29 AM GMT-06:00,
85,03/28/19 11:00:00,18.509,18.817,,,,,Deployment Info,
86,03/28/19 11:30:00,18.961,17.88,,,,,Full Series Name: Coupler Attached,
87,03/28/19 12:00:00,19.651,15.637,,,,,Launch Name: A03_RH,
88,03/28/19 12:30:00,20.246,14.554,,,,,Deployment Number: 1,
89,03/28/19 13:00:00,21.032,13.613,,,,,Launch Time: 03/26/19 08:15:04 AM GMT-06:00,
90,03/28/19 13:30:00,20.889,13.676,,,,,Launch GMT Offset: -6 Hr 0 Min,
91,03/28/19 14:00:00,21.318,13.276,,,,,Battery at Launch: 3.55 Volts,
92,03/28/19 14:30:00,22.417,12.797,,,,,Series Statistics,
93,03/28/19 15:00:00,21.724,12.732,,,,,Samples: 4,
94,03/28/19 15:30:00,21.199,13.41,,,,,First Sample Time: 05/21/19 01:25:48 PM GMT-06:00,
95,03/28/19 16:00:00,19.08,13.525,,,,,Last Sample Time: 04/16/20 03:07:40 PM GMT-06:00,
96,03/28/19 16:30:00,19.27,13.673,,,,,Event Type: Host Connected,
97,03/28/19 17:00:00,18.675,14.271,,,,,Devices,
98,03/28/19 17:30:00,17.796,14.576,,,,,Device Info,
99,03/28/19 18:00:00,18.176,13.519,,,,,Product: HOBO U23-001 Temp/RH,
100,03/28/19 18:30:00,18.2,12.824,,,,,Serial Number: 20547370,
101,03/28/19 19:00:00,18.985,12.823,,,,,Version Number: 1.10,
102,03/28/19 19:30:00,16.606,15.347,,,,,Manufacturer: Onset Computer Corporation,
103,03/28/19 20:00:00,13.834,18.344,,,,,Device Memory: 65536,
104,03/28/19 20:30:00,11.662,21.714,,,,,Header Created: 02/06/14 09:55:29 AM GMT-06:00,
105,03/28/19 21:00:00,13.064,19.518,,,,,Deployment Info,
106,03/28/19 21:30:00,13.738,19.321,,,,,Full Series Name: Host Connected,
107,03/28/19 22:00:00,13.329,20.478,,,,,Launch Name: A03_RH,
108,03/28/19 22:30:00,11.516,23.637,,,,,Deployment Number: 1,
109,03/28/19 23:00:00,10.712,24.905,,,,,Launch Time: 03/26/19 08:15:04 AM GMT-06:00,
110,03/28/19 23:30:00,11.102,21.41,,,,,Launch GMT Offset: -6 Hr 0 Min,
111,03/29/19 00:00:00,9.829,21.527,,,,,Battery at Launch: 3.55 Volts,
